nu,CH4/x=0.000001/T=253K/P=0.53atm/L=1000000cm
6267.25,8.36183558479e-06
6267.26,8.46258139654e-06
6267.27,8.02794788533e-06
6267.28,6.99373073657e-06
6267.29,5.79402957761e-06
6267.3,4.78812360949e-06
6267.31,4.02917056254e-06
6267.32,3.42156718038e-06
6267.33,2.89859596054e-06
6267.34,2.46790757886e-06
6267.35,2.15113113407e-06
6267.36,1.94109325092e-06
6267.37,1.8067957382e-06
6267.38,1.71186215755e-06
6267.39,1.63476270675e-06
6267.4,1.57435447078e-06
6267.41,1.53701289003e-06
6267.42,1.52769378471e-06
6267.43,1.54887518483e-06
6267.44,1.60021035952e-06
6267.45,1.68054770894e-06
6267.46,1.79535079473e-06
6267.47,1.96023040201e-06
6267.48,2.19704418408e-06
6267.49,2.533797584e-06
6267.5,3.00894910893e-06
6267.51,3.66972788814e-06
6267.52,4.55041468543e-06
6267.53,5.62960818736e-06
6267.54,6.82320716942e-06
6267.55,8.03724403994e-06
6267.56,9.13009834604e-06
6267.57,9.90668259995e-06
6267.58,1.04647860195e-05
6267.59,1.13453664937e-05
6267.6,1.30513530983e-05
6267.61,1.54485925512e-05
6267.62,1.74225710129e-05
6267.63,1.74693271964e-05
6267.64,1.53079403535e-05
6267.65,1.21811924126e-05
6267.66,9.34029555259e-06
6267.67,7.21485090858e-06
6267.68,5.72824343794e-06
6267.69,4.69958903828e-06
6267.7,3.98904221537e-06
6267.71,3.50745850571e-06
6267.72,3.18955011996e-06
6267.73,2.97875208812e-06
6267.74,2.8508240866e-06
6267.75,2.81642860795e-06
6267.76,2.88149942195e-06
6267.77,3.03286408228e-06
6267.78,3.22258939887e-06
6267.79,3.3295009174e-06
6267.8,3.25050765167e-06
6267.81,3.04260857208e-06
6267.82,2.84333457848e-06
6267.83,2.73367356731e-06
6267.84,2.7281241292e-06
6267.85,2.79649067395e-06
6267.86,2.89259100205e-06
6267.87,2.97734993882e-06
6267.88,2.97704566756e-06
6267.89,2.80632930724e-06
6267.9,2.50183997609e-06
6267.91,2.19740888635e-06
6267.92,1.97524014485e-06
6267.93,1.83891058595e-06
6267.94,1.77304803627e-06
6267.95,1.7740910176e-06
6267.96,1.83886961746e-06
6267.97,1.94935827621e-06
6267.98,2.08239421344e-06
